frame,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,blink
2793,0.7546079982806818,0.7546079982806818,0.7893282322886501,0.7768491355447295,0.7560069499136144,0.7619482915718031,0.7727452307522242,0.7546204862251021,0.7544899124049821,0.7795880604528805,0.7521078307493229,0.7141681050997661,0.7301216020074253,0.0
10540,0.5948295459570491,0.6475250052588878,0.6366686254991862,0.5847435663853273,0.6210061809636717,0.6040952495443231,0.6378337771892195,0.7186542615305679,0.6891582617515758,0.7177844071156111,0.7306386888323688,0.7074106431191497,0.7437660127017056,0.0
272,0.7661423664727545,0.762235800619282,0.7519592524720353,0.7499188373690315,0.7499188373690315,0.7661423664727545,0.7621946725838092,0.7350700681795833,0.7512935972833064,0.7364412835712151,0.7349270789775064,0.7407632618856627,0.705905406665328,0.0
9669,0.6638092541355826,0.6968643643894439,0.6546474513050822,0.6813326328069166,0.6900569731618229,0.6900569731618229,0.7082777635517744,0.6777525887132895,0.6896066614677533,0.6860340022946269,0.6467502916914539,0.6524409211686115,0.6652865533205724,0.0
14831,0.7533772780490671,0.7343905828836615,0.7352584579477763,0.7343905828836615,0.7161984876096994,0.7550473719486596,0.7352584579477763,0.7166138050222004,0.7343905828836615,0.7558546127844404,0.7343905828836615,0.7343905828836615,0.7161984876096994,0.0
12460,0.7160046711018476,0.7103995830848673,0.7279344836569345,0.6911989098751062,0.6991975037495088,0.7376464104650459,0.6920409793964603,0.7095575135635133,0.6983554342281547,0.7053234857974776,0.7073848409647489,0.7161775961426324,0.6805510842294763,0.0
7189,0.4972240247232594,0.4893784919321131,0.4955563751325908,0.5428587123097426,0.4897536776481025,0.4968675814903251,0.4956325457604273,0.5644861019758515,0.5219199758398329,0.5208036264888994,0.5756503699011869,0.5775271421609707,0.5497138493700596,0.0
14193,0.8135125022392896,0.7936732297626129,0.8000534138578982,0.8318074591140078,0.8176808888551508,0.8066671872963752,0.8126799687972007,0.8429527006650618,0.8362193742760322,0.8288763919281001,0.8249378288015041,0.8241495327290598,0.8190864134927458,0.0
5405,0.5555830991503226,0.5489121899203283,0.5660824441854002,0.5467756526386519,0.5489121899203283,0.5633325283931736,0.5592401258905811,0.5738140685246668,0.5561309282006359,0.5321432507893868,0.5764727507362364,0.5749225995255085,0.4781445055552128,0.0
2783,0.7560781142211447,0.7554773936213636,0.7560523935809554,0.7393992428951249,0.7380002912621927,0.7401500613648793,0.7561444163918649,0.7388032973688895,0.737206825272557,0.7704924464623404,0.7546079982806818,0.7546079982806818,0.7893282322886501,0.0
15355,0.7013473650221276,0.6535285356570973,0.6465739401326925,0.7109888503127583,0.7229747191998674,0.7169347921890517,0.7173512325803245,0.6826648175376464,0.7166138050222004,0.7067497659850902,0.705321339171226,0.6708183941631413,0.7273137627798112,0.0
15483,0.6734320038822976,0.6263725181845142,0.6445936839871517,0.656009408389768,0.6999547009373004,0.6738709598582738,0.6886111062580069,0.6798097201271267,0.6712328347525381,0.6912492313637429,0.6712328347525381,0.6726254988373652,0.5764382394328847,0.0
4684,0.7049571957175674,0.70925119873753,0.7184802811523805,0.7316085310498778,0.7150944034935445,0.696169337389575,0.6714571472700658,0.7128347265455307,0.7150944034935445,0.698429014337589,0.69534605398348,0.7295126407168248,0.7182281433836533,0.0
4542,0.7957337815007449,0.7156861145698277,0.7026452339040383,0.7015011242529677,0.6987158683313909,0.7271087128522442,0.7435562796938728,0.6962143615162373,0.7402681195988264,0.7552537626651034,0.7344516724873763,0.7526933927622025,0.7049571957175674,0.0
3057,0.7729315972625532,0.7606336549695191,0.7854421517190555,0.7752617338004101,0.7931941305485504,0.7942117881878087,0.8048825429763649,0.8074837678411318,0.7794957237701778,0.7794957237701778,0.7745973224626457,0.7685392809806904,0.7505522163343227,0.0
507,0.6328478259256338,0.6514239784136282,0.6349891344699962,0.6322712575043703,0.6349891344699962,0.6341487726557765,0.5934713877044118,0.6085992370788015,0.6252457191856355,0.5947601869431246,0.5599128508882929,0.6165732428273017,0.6346276776633397,0.0
1487,0.6517836882176629,0.6602671902350279,0.6270854373786457,0.6270854373786457,0.6349354735268637,0.6412237893841383,0.6420617777690875,0.6512295949454997,0.6186413521082277,0.6467951564780161,0.6355368728748276,0.6213815028893557,0.6355368728748276,0.0
4825,0.6980115231460988,0.6754964826508737,0.6722665573267039,0.7049571957175674,0.6676109543899833,0.6592301967574828,0.6746876399372398,0.6321832744272117,0.6014844297592286,0.6420617777690875,0.6587707721626144,0.6412650891353059,0.6808592772827446,0.0
8547,0.6925095589412377,0.7182336247527918,0.6838356393447775,0.7559442218198468,0.8197964478495835,0.8760872241317388,0.8611416404469849,0.8636590290614229,0.8820498105234321,0.932822910644466,0.9183856250300872,0.9037435533498328,0.8844716685769121,0.0
