frame,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,blink
7496,0.7345583003797342,0.7357595139346221,0.7422791031973589,0.7630451267060251,0.7683823981935097,0.7410138431428064,0.7880706613739437,0.7692676810140934,0.7606201773148841,0.7414168025273831,0.7461993331926985,0.7105975416104108,0.7301250458211436,0.0
467,0.7313567953466005,0.7304724802247797,0.6942404385207593,0.7146568649743181,0.7304724802247797,0.7137240731299214,0.7034053952761634,0.7051994744153757,0.7146568649743181,0.7152115129413426,0.7127420720224,0.7055967128409091,0.7140417490281201,0.0
1798,0.8281983602734233,0.8371327029345771,0.8413787674978431,0.8766418731408595,0.8766418731408595,0.8631394466594823,0.8766418731408595,0.8984310968036144,0.8984310968036144,0.91192539084004,0.919195386036614,0.9161750085655601,0.932467976257412,0.0
5754,0.7487837758054531,0.7143303936465759,0.6869127693565727,0.7132170906233284,0.7503733594024017,0.7236589584589348,0.7055726731069211,0.7865821180483467,0.7604238153944075,0.7325782318094533,0.7341881880097351,0.7333857976537864,0.6969194474750279,0.0
3527,0.44536853260031695,0.41578701450448224,0.41389461842506337,0.37741779039946216,0.43200631369412695,0.4501985998900158,0.4163102269967461,0.39315808021646653,0.4287755487218333,0.4781740239124397,0.466955275618409,0.4110389341216073,0.485911260869396,0.0
10141,0.6934003637336578,0.7010765610110347,0.6940154796798558,0.676382757463177,0.6754686901487011,0.7053868769709473,0.6934003637336578,0.6848496852997046,0.6941182296350062,0.7321866111891218,0.7126650191661611,0.6924702063681598,0.6936845944789584,0.0
10901,0.7852046802328572,0.7669749487803718,0.8140528531650338,0.7762212928906014,0.7836593913702646,0.7778516321847482,0.7459128958840944,0.7761507726165451,0.8083688744826447,0.7779509435257448,0.7774199936594256,0.7772790147206255,0.7432323546150867,0.0
3474,0.4171755229312884,0.4210570303633398,0.4414223202043212,0.4297790571290267,0.39182463684835905,0.4732679223342738,0.4088777835995393,0.4032856534674394,0.3990300931476381,0.3725573592000764,0.3693953225170871,0.3510426927947579,0.37552473543936266,0.0
3497,0.4214138095115543,0.3513646543497187,0.3687409048416418,0.35779432723698273,0.3451283156535038,0.3731608064894076,0.3580790943122301,0.35978573456420665,0.3892243139580708,0.35919636586031456,0.4696777976332667,0.4689476095343516,0.4764240327617132,0.0
7607,0.8565727558600305,0.8293324911642115,0.8723366027790086,0.8202496717868636,0.8294150512927175,0.8503467316939318,0.8246306562639663,0.8315364320569645,0.8182452957588591,0.8165753557462256,0.8138060238545847,0.8317004300889993,0.8737878465202553,0.0
