frame,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,blink
6,0.2509996312953016,0.2497101907237201,0.2515090063778642,0.2507080466119777,0.26377481481379345,0.2928692697784065,0.2985617333649734,0.27930376281895625,0.2779832864430752,0.2849804143528877,0.2790377301083834,0.2775792848334537,0.28569537376889337,0.0
7,0.2497101907237201,0.2515090063778642,0.2507080466119777,0.26377481481379345,0.2928692697784065,0.2985617333649734,0.27930376281895625,0.2779832864430752,0.2849804143528877,0.2790377301083834,0.2775792848334537,0.28569537376889337,0.2659646294265268,0.0
8,0.2515090063778642,0.2507080466119777,0.26377481481379345,0.2928692697784065,0.2985617333649734,0.27930376281895625,0.2779832864430752,0.2849804143528877,0.2790377301083834,0.2775792848334537,0.28569537376889337,0.2659646294265268,0.2644743963073671,0.0
9,0.2507080466119777,0.26377481481379345,0.2928692697784065,0.2985617333649734,0.27930376281895625,0.2779832864430752,0.2849804143528877,0.2790377301083834,0.2775792848334537,0.28569537376889337,0.2659646294265268,0.2644743963073671,0.268339193743133,0.0
10,0.26377481481379345,0.2928692697784065,0.2985617333649734,0.27930376281895625,0.2779832864430752,0.2849804143528877,0.2790377301083834,0.2775792848334537,0.28569537376889337,0.2659646294265268,0.2644743963073671,0.268339193743133,0.26161659479847715,0.0
11,0.2928692697784065,0.2985617333649734,0.27930376281895625,0.2779832864430752,0.2849804143528877,0.2790377301083834,0.2775792848334537,0.28569537376889337,0.2659646294265268,0.2644743963073671,0.268339193743133,0.26161659479847715,0.26226158107534203,0.0
12,0.2985617333649734,0.27930376281895625,0.2779832864430752,0.2849804143528877,0.2790377301083834,0.2775792848334537,0.28569537376889337,0.2659646294265268,0.2644743963073671,0.268339193743133,0.26161659479847715,0.26226158107534203,0.2754115480097568,0.0
13,0.27930376281895625,0.2779832864430752,0.2849804143528877,0.2790377301083834,0.2775792848334537,0.28569537376889337,0.2659646294265268,0.2644743963073671,0.268339193743133,0.26161659479847715,0.26226158107534203,0.2754115480097568,0.2747923076155946,0.0
14,0.2779832864430752,0.2849804143528877,0.2790377301083834,0.2775792848334537,0.28569537376889337,0.2659646294265268,0.2644743963073671,0.268339193743133,0.26161659479847715,0.26226158107534203,0.2754115480097568,0.2747923076155946,0.26377481481379345,0.0
15,0.2849804143528877,0.2790377301083834,0.2775792848334537,0.28569537376889337,0.2659646294265268,0.2644743963073671,0.268339193743133,0.26161659479847715,0.26226158107534203,0.2754115480097568,0.2747923076155946,0.26377481481379345,0.2637554436016595,0.0
16,0.2790377301083834,0.2775792848334537,0.28569537376889337,0.2659646294265268,0.2644743963073671,0.268339193743133,0.26161659479847715,0.26226158107534203,0.2754115480097568,0.2747923076155946,0.26377481481379345,0.2637554436016595,0.268641784108987,0.0
17,0.2775792848334537,0.28569537376889337,0.2659646294265268,0.2644743963073671,0.268339193743133,0.26161659479847715,0.26226158107534203,0.2754115480097568,0.2747923076155946,0.26377481481379345,0.2637554436016595,0.268641784108987,0.2571619776756541,0.0
18,0.28569537376889337,0.2659646294265268,0.2644743963073671,0.268339193743133,0.26161659479847715,0.26226158107534203,0.2754115480097568,0.2747923076155946,0.26377481481379345,0.2637554436016595,0.268641784108987,0.2571619776756541,0.2653705420778589,0.0
19,0.2659646294265268,0.2644743963073671,0.268339193743133,0.26161659479847715,0.26226158107534203,0.2754115480097568,0.2747923076155946,0.26377481481379345,0.2637554436016595,0.268641784108987,0.2571619776756541,0.2653705420778589,0.267650403851888,0.0
20,0.2644743963073671,0.268339193743133,0.26161659479847715,0.26226158107534203,0.2754115480097568,0.2747923076155946,0.26377481481379345,0.2637554436016595,0.268641784108987,0.2571619776756541,0.2653705420778589,0.267650403851888,0.2468416319254575,0.0
21,0.268339193743133,0.26161659479847715,0.26226158107534203,0.2754115480097568,0.2747923076155946,0.26377481481379345,0.2637554436016595,0.268641784108987,0.2571619776756541,0.2653705420778589,0.267650403851888,0.2468416319254575,0.26226158107534203,0.0
22,0.26161659479847715,0.26226158107534203,0.2754115480097568,0.2747923076155946,0.26377481481379345,0.2637554436016595,0.268641784108987,0.2571619776756541,0.2653705420778589,0.267650403851888,0.2468416319254575,0.26226158107534203,0.26188749377200826,0.0
23,0.26226158107534203,0.2754115480097568,0.2747923076155946,0.26377481481379345,0.2637554436016595,0.268641784108987,0.2571619776756541,0.2653705420778589,0.267650403851888,0.2468416319254575,0.26226158107534203,0.26188749377200826,0.26954571089641555,0.0
24,0.2754115480097568,0.2747923076155946,0.26377481481379345,0.2637554436016595,0.268641784108987,0.2571619776756541,0.2653705420778589,0.267650403851888,0.2468416319254575,0.26226158107534203,0.26188749377200826,0.26954571089641555,0.2546819957203585,0.0
25,0.2747923076155946,0.26377481481379345,0.2637554436016595,0.268641784108987,0.2571619776756541,0.2653705420778589,0.267650403851888,0.2468416319254575,0.26226158107534203,0.26188749377200826,0.26954571089641555,0.2546819957203585,0.26897865853477465,0.0
26,0.26377481481379345,0.2637554436016595,0.268641784108987,0.2571619776756541,0.2653705420778589,0.267650403851888,0.2468416319254575,0.26226158107534203,0.26188749377200826,0.26954571089641555,0.2546819957203585,0.26897865853477465,0.2444941558451416,0.0
27,0.2637554436016595,0.268641784108987,0.2571619776756541,0.2653705420778589,0.267650403851888,0.2468416319254575,0.26226158107534203,0.26188749377200826,0.26954571089641555,0.2546819957203585,0.26897865853477465,0.2444941558451416,0.2583162498001049,0.0
28,0.268641784108987,0.2571619776756541,0.2653705420778589,0.267650403851888,0.2468416319254575,0.26226158107534203,0.26188749377200826,0.26954571089641555,0.2546819957203585,0.26897865853477465,0.2444941558451416,0.2583162498001049,0.2549874352084576,0.0
29,0.2571619776756541,0.2653705420778589,0.267650403851888,0.2468416319254575,0.26226158107534203,0.26188749377200826,0.26954571089641555,0.2546819957203585,0.26897865853477465,0.2444941558451416,0.2583162498001049,0.2549874352084576,0.2713431326193174,0.0
30,0.2653705420778589,0.267650403851888,0.2468416319254575,0.26226158107534203,0.26188749377200826,0.26954571089641555,0.2546819957203585,0.26897865853477465,0.2444941558451416,0.2583162498001049,0.2549874352084576,0.2713431326193174,0.27527721197941124,0.0
31,0.267650403851888,0.2468416319254575,0.26226158107534203,0.26188749377200826,0.26954571089641555,0.2546819957203585,0.26897865853477465,0.2444941558451416,0.2583162498001049,0.2549874352084576,0.2713431326193174,0.27527721197941124,0.2618559135066181,0.0
32,0.2468416319254575,0.26226158107534203,0.26188749377200826,0.26954571089641555,0.2546819957203585,0.26897865853477465,0.2444941558451416,0.2583162498001049,0.2549874352084576,0.2713431326193174,0.27527721197941124,0.2618559135066181,0.26897865853477465,0.0
33,0.26226158107534203,0.26188749377200826,0.26954571089641555,0.2546819957203585,0.26897865853477465,0.2444941558451416,0.2583162498001049,0.2549874352084576,0.2713431326193174,0.27527721197941124,0.2618559135066181,0.26897865853477465,0.2817762774796107,0.0
