frame,ear,tag,mov_ear_3,mov_ear_5,mov_ear_7
0,0.3106712337645431,0,0.0,0.0,0.0
1,0.33139278985341347,0,0.0,0.0,0.0
2,0.335892804185823,0,0.3259856092679265,0.0,0.0
3,0.3365079002055801,0,0.3345978314149389,0.33189805978506015,0.0
4,0.3450255709159412,0,0.3391420917691148,0.3338159710409969,0.33004369948700435
5,0.320260790044227,0,0.33393142038858276,0.33364837455821483,0.33148019201287365
6,0.3305548074395027,0,0.3319470561332237,0.33061515001017583,0.33106107079202973
7,0.3207266814456279,0,0.3238474263097859,0.32900535823056104,0.32995488850200083
8,0.3284589413075063,0,0.32658014339754565,0.3256301496784969,0.3288177725357686
9,0.32814952815562093,0,0.3257783836362516,0.3272876093580424,0.3245354097421656
10,0.32854808844195427,0,0.32838551930169374,0.3241864541422859,0.3242372964663374
11,0.31504903136072016,0,0.32391554931943184,0.32367591727584627,0.3231730301206454
12,0.31817399711342953,0,0.3205903723053682,0.3226051176182768,0.3220002919161307
13,0.32310494301965886,0,0.3187759904979363,0.3194787147899576,0.32187706885013967
14,0.31251751401402494,0,0.31793215138237113,0.31928837307068053,0.31859299401784563
15,0.3275963798455686,0,0.32107294562641747,0.317310767664449,0.31853605683408376
16,0.3051610043295629,0,0.3150916327297188,0.3193058738728872,0.31683771654644766
17,0.32814952815562093,0,0.3203023041102509,0.31531701513840904,0.3146830213925237
18,0.30316064934726805,0,0.3121570606108171,0.31343173854279643,0.3153922406952378
19,0.3030911310359622,0,0.3114671028462836,0.31352635820141417,0.31641940179811634
20,0.3280694781386573,0,0.31144041950729573,0.3164356856823366,0.31316020136420314
21,0.31970764173417465,0,0.31695608363626465,0.3117621754128477,0.31287443636673257
22,0.30478197680817665,0,0.31751969889366966,0.31176217541284784,0.3106521826481323
23,0.30316064934726805,0,0.3092167559632066,0.31366269963073934,0.31235019117916557
24,0.31259375212541884,0,0.3068454594269549,0.31105814581590785,0.3141031248868077
25,0.3150467090645004,0,0.31026703684572937,0.3101889508669643,0.31122112770015903
26,0.3153616669894568,0,0.31433404272645876,0.3108116550717524,0.31020485775605117
27,0.3078954978321165,0,0.31276795796202467,0.31269827562738256,0.31130993449974387
28,0.31259375212541884,0,0.3119503056489978,0.31268302800510384,0.3127022670476874
29,0.31251751401402494,0,0.3110022546571874,0.31225508162877846,0.314314903234933
30,0.3129069771828739,0,0.3126727477741061,0.3139591893181148,0.3139644808150643
31,0.3238822054361384,0,0.3164355655443458,0.3148988401767753,0.3118630783040996
32,0.31259375212541884,0,0.31646097824814373,0.3125104596342322,0.31180242882647463
33,0.30065184941270323,0,0.3123759356580873,0.3115011471291755,0.31111478467464365
34,0.3074709514887428,0,0.3069055176756219,0.3104758003051213,0.3133364938353052
35,0.30778024306260277,0,0.30530101465468285,0.31131325484562494,0.31550256540041716
36,0.3280694781386573,0,0.31444022423000045,0.3144084000482724,0.31345790156340186
37,0.3280694781386573,0,0.32130639977997194,0.316191941881138,0.3112800090211366
38,0.3095695585770317,0,0.3219028382847817,0.314167452449302,0.3141478421686971
39,0.2973485043295629,0,0.3116625136817503,0.31675674012590704,0.3137519467635815
40,0.3207266814456279,0,0.30921491478407387,0.3120827812287622,0.31337918424255634
41,0.3046996836529329,0,0.3075916231427076,0.3075030666841162,0.3093811156273364
42,0.3051709054154258,0,0.31019909017132896,0.3056057545351333,0.30717029762544534
43,0.3000829978321165,0,0.30331786230015884,0.3086548040943047,0.3076456844313221
44,0.31259375212541884,0,0.3059492184576544,0.3070889210488129,0.3105971083158123
45,0.31289726621816893,0,0.3085246720585684,0.3097506786224251,0.31130738108573625
46,0.3180084715209942,0,0.31449982995486064,0.3138562157063589,0.3124337991151397
47,0.3256985908350962,0,0.3188681095247527,0.3163565381116868,0.3135389522247749
