frame,ear,tag,mov_ear_3,mov_ear_5,mov_ear_7
0,0.25099963129530156,0,0.0,0.0,0.0
1,0.24971019072372008,0,0.0,0.0,0.0
2,0.2515090063778642,0,0.2507396094656286,0.0,0.0
3,0.2507080466119777,0,0.25064241457118736,0.2533403379645314,0.0
4,0.26377481481379345,0,0.2553306226012118,0.2617142656611524,0.2654475275665767
5,0.29286926977840655,0,0.26911737706805927,0.2714845741894031,0.2694909749270988
6,0.2985617333649734,0,0.2850686059857244,0.27704352547762146,0.2735299886012924
7,0.27930376281895625,0,0.2902449219874453,0.28249857344384094,0.27831161831201
8,0.2779832864430752,0,0.2852829275423349,0.2867396933516598,0.28235871595435363
9,0.2849804143528877,0,0.280755821204973,0.2839733854176551,0.28433078310001936
10,0.2790377301083834,0,0.28066714363478207,0.27977689571135117,0.283305940812946
11,0.2775792848334537,0,0.2805324764315748,0.2810552179013386,0.27864921167888224
12,0.28569537376889337,0,0.28077079623691,0.27865148649802884,0.27653073074865525
13,0.2659646294265268,0,0.2764130960096245,0.2745502828889248,0.27515300322009206
14,0.2644743963073671,0,0.2720447998342624,0.2724105756158747,0.2718153147123191
15,0.268339193743133,0,0.26625940649234225,0.2692180376088794,0.26941872199331324
16,0.26161659479847715,0,0.26481006161632575,0.2645312790701692,0.2691090453042137
17,0.26226158107534203,0,0.26407245653898404,0.2664206627868152,0.26755146442517114
18,0.27541154800975676,0,0.26642990796119204,0.26848424504846075,0.26723863376620915
19,0.2747923076155946,0,0.2708218122335646,0.26757136926259284,0.2671359262368223
20,0.26377481481379345,0,0.2713262234797149,0.2679991390232292,0.26717915343194437
21,0.2637554436016595,0,0.2674408553436824,0.26927517962995823,0.26654277955725536
22,0.268641784108987,0,0.2653906808414798,0.2656252655631377,0.26698691684332915
23,0.2571619776756541,0,0.2631864017954335,0.2637409124555905,0.2658781819636336
24,0.26537054207785893,0,0.26372476795416677,0.2645160302632094,0.261885228293614
25,0.267650403851888,0,0.2633943078684669,0.2611332679279691,0.26166905204526386
26,0.24684163192545752,0,0.2599541926184014,0.2598572273212401,0.26140220206959935
27,0.26226158107534203,0,0.25891787228422913,0.26080233054051083,0.2615313344678034
28,0.26188749377200826,0,0.2569969022576026,0.26163736430422213,0.2611770513313327
29,0.26954571089641555,0,0.2645649285812552,0.25904368267791644,0.2616924965394634
30,0.25468199572035854,0,0.2620384001295942,0.26347108799977975,0.25838446110992813
31,0.26897865853477465,0,0.26440212171718286,0.25991760295373945,0.26002369223487776
32,0.24449415584514156,0,0.256051603366758,0.25920335415935886,0.2589845285396085
33,0.25831624980010487,0,0.25726302139333984,0.2562916990217673,0.26033533408922427
34,0.25498743520845757,0,0.25259928028456774,0.25962392640155907,0.26115411995822363
35,0.2713431326193174,0,0.2615489392092935,0.26088363709048645,0.2621789653562607
36,0.27527721197941124,0,0.2672025932690622,0.264355988622782,0.2621789653562607
37,0.2618559135066181,0,0.2694920860351158,0.2664884703697158,0.26750498273261364
38,0.26897865853477465,0,0.2687039280069345,0.2718462388239466,0.27040514605131855
39,0.2817762774796107,0,0.270870283173668,0.27330109090629084,0.27706971748322423
40,0.27861739303103983,0,0.27645744301514164,0.2785735355567681,0.2816288072208926
41,0.30163943523179626,0,0.28734436858081597,0.28685370501204377,0.2830710264324904
42,0.30325676078299607,0,0.2945045296819444,0.290132522597208,0.2882978629662047
43,0.28537274646059574,0,0.29675631415846304,0.29346602094980945,0.29170236047478476
44,0.2984437692426187,0,0.2956910921620703,0.29630457056256854,0.29545343632948246
45,0.29281014109483494,0,0.2922088855993496,0.29758344520870816,0.29792336258727353
46,0.30803380846249473,0,0.2997625729333162,0.2961134684192242,0.29778321065265445
47,0.29590687683557687,0,0.298916942130969,0.29917059346499786,0.2981048723368292
48,0.3006583716894641,0,0.3015330189958452,0.30058351813091805,0.3020146354362101
49,0.3055083925722204,0,0.30069121369908675,0.30456970754320345,0.3033846410390496
50,0.3127410881562621,0,0.30630261747264836,0.30456970754320345,0.3052219287896091
51,0.30803380846249473,0,0.30876109639699223,0.30652256324583826,0.30600445808776505
